#total charge for As  SPIN = 1
 0.19402094  40.21072543
 0.19993809  38.84161729
 0.20603569  37.42575058
 0.21231926  35.98606872
 0.21879447  34.54629267
 0.22546715  33.13038857
 0.23234333  31.76200410
 0.23942921  30.46390654
 0.24673120  29.25741031
 0.25425588  28.16179094
 0.26201004  27.19382557
 0.27000069  26.36731032
 0.27823503  25.69268117
 0.28672050  25.17667718
 0.29546475  24.82216228
 0.30447568  24.62800483
 0.31376142  24.58908149
 0.32333036  24.69639243
 0.33319112  24.93728798
 0.34335261  25.29580105
 0.35382400  25.75307677
 0.36461474  26.28788640
 0.37573457  26.87721001
 0.38719353  27.49686895
 0.39900195  28.12218803
 0.41117051  28.72866510
 0.42371017  29.29262606
 0.43663226  29.79184354
 0.44994845  30.20609942
 0.46367074  30.51767331
 0.47781153  30.71174264
 0.49238358  30.77668378
 0.50740004  30.70426733
 0.52287446  30.48974565
 0.53882082  30.13183421
 0.55525349  29.63259303
 0.57218733  28.99721693
 0.58963760  28.23374754
 0.60762006  27.35271989
 0.62615094  26.36676152
 0.64524697  25.29016635
 0.66492537  24.13841453
 0.68520392  22.92774806
 0.70610092  21.67473042
 0.72763521  20.39580623
 0.74982626  19.10694171
 0.77269407  17.82328332
 0.79625929  16.55886558
 0.82054319  15.32637102
 0.84556769  14.13696234
 0.87135538  13.00016586
 0.89792952  11.92378026
 0.92531411  10.91385403
 0.95353386   9.97471876
 0.98261424   9.10905292
 1.01258150   8.31798325
 1.04346268   7.60121450
 1.07528567   6.95718246
 1.10807917   6.38322199
 1.14187279   5.87574515
 1.17669704   5.43042254
 1.21258333   5.04236325
 1.24956407   4.70628794
 1.28767262   4.41669116
 1.32694340   4.16799026
 1.36741183   3.95465763
 1.40911444   3.77133607
 1.45208888   3.61293473
 1.49637394   3.47470501
 1.54200957   3.35230236
 1.58903698   3.24182777
 1.63749860   3.13985347
 1.68743818   3.04343459
 1.73890080   2.95010745
 1.79193289   2.85787693
 1.84658233   2.76519406
 1.90289844   2.67092610
 1.96093205   2.57432041
 2.02073554   2.47496410
 2.08236288   2.37274064
 2.14586970   2.26778519
 2.21131332   2.16043970
 2.27875281   2.05120903
 2.34824903   1.94071905
 2.41986471   1.82967751
 2.49366448   1.71883835
 2.56971497   1.60896979
 2.64808480   1.50082649
 2.72884472   1.39512748
 2.81206761   1.29253933
 2.89782858   1.19364398
 2.98620506   1.09899799
 3.07727679   1.00896952
 3.17112598   0.92393645
 3.26783733   0.84386663
 3.36749814   0.76864101
 3.47019835   0.69813918
 3.57603065   0.63223150
 3.68509058   0.57078214
 3.79747656   0.51364800
 3.91329003   0.46067964
 4.03263551   0.41172176
 4.15562074   0.36661402
 4.28235670   0.32519174
 4.41295779   0.28728669
 4.54754189   0.25272790
 4.68623046   0.22134230
 4.82914868   0.19295544
 4.97642555   0.16739211
 5.12819399   0.14447695
 5.28459099   0.12403515
 5.44575771   0.10589307
 5.61183960   0.08987898
 5.78298657   0.07582381
 5.95935309   0.06356192
 6.14109834   0.05293199
 6.32838637   0.04377785
 6.52138621   0.03594934
 6.72027207   0.02930311
 6.92522343   0.02370345
 7.13642530   0.01902290
 7.35406830   0.01514287
 7.57834885   0.01195400
 7.80946940   0.00935650
 8.04763854   0.00726028
 8.29307125   0.00558471
 8.54598903   0.00425855
 8.80662016   0.00321957
 9.07519989   0.00241404
 9.35197063   0.00179616
 9.63718217   0.00132731
 9.93109195   0.00097541
10.23396524   0.00071413
10.54607539   0.00052218
10.86770412   0.00038254
11.19914172   0.00028186
11.54068733   0.00020976
11.89264922   0.00015836
12.25534506   0.00012172
12.62910221   0.00009547
13.01425802   0.00007642
13.41116010   0.00006233
13.82016670   0.00005162
14.24164697   0.00004321
14.67598132   0.00003635
15.12356178   0.00003124
15.58479231   0.00002694
16.06008922   0.00002316
16.54988148   0.00001983
17.05461117   0.00001687
17.57473385   0.00001424
18.11071896   0.00001192
18.66305026   0.00000987
19.23222628   0.00000809
19.81876073   0.00000656
20.42318300   0.00000526
21.04603863   0.00000417
21.68788979   0.00000326
22.34931580   0.00000251
23.03091362   0.00000192
23.73329847   0.00000144
24.45710428   0.00000107
25.20298435   0.00000078
25.97161188   0.00000056
26.76368062   0.00000040
27.57990545   0.00000028
28.42102309   0.00000019
29.28779270   0.00000013
30.18099659   0.00000008
31.10144095   0.00000005
32.04995655   0.00000003
33.02739949   0.00000002
34.03465197   0.00000001
35.07262311   0.00000001
 
