1POTENTIAL OF ATOM  1  As (SPIN=1)
                 327
  0.0000000000000000D+00 -0.6596711191697293D+02 -0.6596610436334487D+02
 -0.6596506432745277D+02 -0.6596399331478167D+02 -0.6596288904168496D+02
 -0.6596175103899688D+02 -0.6596057806620486D+02 -0.6595936911989548D+02
 -0.6595812307134628D+02 -0.6595683878818075D+02 -0.6595551509321851D+02
 -0.6595415077609674D+02 -0.6595274458823030D+02 -0.6595129524283655D+02
 -0.6594980141339592D+02 -0.6594826173252541D+02 -0.6594667479068266D+02
 -0.6594503913486813D+02 -0.6594335326727591D+02 -0.6594161564390539D+02
 -0.6593982467312854D+02 -0.6593797871421285D+02 -0.6593607607579780D+02
 -0.6593411501432395D+02 -0.6593209373241250D+02 -0.6593001037719452D+02
 -0.6592786303858763D+02 -0.6592564974751868D+02 -0.6592336847409101D+02
 -0.6592101712569409D+02 -0.6591859354505391D+02 -0.6591609550822244D+02
 -0.6591352072250388D+02 -0.6591086682431609D+02 -0.6590813137698491D+02
 -0.6590531186846920D+02 -0.6590240570901487D+02 -0.6589941022873504D+02
 -0.6589632267511459D+02 -0.6589314021043631D+02 -0.6588985990912664D+02
 -0.6588647875501789D+02 -0.6588299363852508D+02 -0.6587940135373411D+02
 -0.6587569859539890D+02 -0.6587188195584454D+02 -0.6586794792177368D+02
 -0.6586389287097292D+02 -0.6585971306891651D+02 -0.6585540466526393D+02
 -0.6585096369024842D+02 -0.6584638605095272D+02 -0.6584166752746916D+02
 -0.6583680376894019D+02 -0.6583179028947623D+02 -0.6582662246394656D+02
 -0.6582129552364033D+02 -0.6581580455179304D+02 -0.6581014447897549D+02
 -0.6580431007834038D+02 -0.6579829596072304D+02 -0.6579209656959205D+02
 -0.6578570617584531D+02 -0.6577911887244777D+02 -0.6577232856890576D+02
 -0.6576532898557431D+02 -0.6575811364779238D+02 -0.6575067587984152D+02
 -0.6574300879872405D+02 -0.6573510530775502D+02 -0.6572695808996451D+02
 -0.6571855960130461D+02 -0.6570990206365707D+02 -0.6570097745763667D+02
 -0.6569177751518558D+02 -0.6568229371195443D+02 -0.6567251725946514D+02
 -0.6566243909705130D+02 -0.6565204988357137D+02 -0.6564133998889091D+02
 -0.6563029948512903D+02 -0.6561891813766552D+02 -0.6560718539590445D+02
 -0.6559509038379126D+02 -0.6558262189007931D+02 -0.6556976835834325D+02
 -0.6555651787673656D+02 -0.6554285816749068D+02 -0.6552877657615385D+02
 -0.6551426006056863D+02 -0.6549929517958667D+02 -0.6548386808152092D+02
 -0.6546796449233538D+02 -0.6545156970357348D+02 -0.6543466856002736D+02
 -0.6541724544715009D+02 -0.6539928427821567D+02 -0.6538076848123018D+02
 -0.6536168098560141D+02 -0.6534200420857313D+02 -0.6532172004143277D+02
 -0.6530080983550266D+02 -0.6527925438792585D+02 -0.6525703392726014D+02
 -0.6523412809889491D+02 -0.6521051595030809D+02 -0.6518617591618091D+02
 -0.6516108580339231D+02 -0.6513522277591636D+02 -0.6510856333964838D+02
 -0.6508108332718804D+02 -0.6505275788261011D+02 -0.6502356144625732D+02
 -0.6499346773959158D+02 -0.6496244975014359D+02 -0.6493047971660408D+02
 -0.6489752911410274D+02 -0.6486356863972479D+02 -0.6482856819831829D+02
 -0.6479249688864913D+02 -0.6475532298996364D+02 -0.6471701394902325D+02
 -0.6467753636767819D+02 -0.6463685599105143D+02 -0.6459493769640729D+02
 -0.6455174548278235D+02 -0.6450724246145963D+02 -0.6446139084736936D+02
 -0.6441415195150303D+02 -0.6436548617442885D+02 -0.6431535300100043D+02
 -0.6426371099634977D+02 -0.6421051780325045D+02 -0.6415573014094960D+02
 -0.6409930380555807D+02 -0.6404119367208720D+02 -0.6398135369821841D+02
 -0.6391973692988697D+02 -0.6385629550875687D+02 -0.6379098068165575D+02
 -0.6372374281203120D+02 -0.6365453139347871D+02 -0.6358329506538050D+02
 -0.6350998163067927D+02 -0.6343453807579584D+02 -0.6335691059268056D+02
 -0.6327704460296831D+02 -0.6319488478418311D+02 -0.6311037509791446D+02
 -0.6302345881985801D+02 -0.6293407857158459D+02 -0.6284217635386812D+02
 -0.6274769358136971D+02 -0.6265057111843763D+02 -0.6255074931574626D+02
 -0.6244816804745735D+02 -0.6234276674855781D+02 -0.6223448445196735D+02
 -0.6212325982496299D+02 -0.6200903120448067D+02 -0.6189173663077987D+02
 -0.6177131387893565D+02 -0.6164770048759916D+02 -0.6152083378445204D+02
 -0.6139065090777132D+02 -0.6125708882352666D+02 -0.6112008433744845D+02
 -0.6097957410153985D+02 -0.6083549461455814D+02 -0.6068778221606657D+02
 -0.6053637307375637D+02 -0.6038120316386815D+02 -0.6022220824469972D+02
 -0.6005932382338210D+02 -0.5989248511633541D+02 -0.5972162700408743D+02
 -0.5954668398144872D+02 -0.5936759010439334D+02 -0.5918427893538966D+02
 -0.5899668348936350D+02 -0.5880473618294790D+02 -0.5860836879017656D+02
 -0.5840751240829517D+02 -0.5820209743787704D+02 -0.5799205358197787D+02
 -0.5777730986950835D+02 -0.5755779470837688D+02 -0.5733343597422214D+02
 -0.5710416114063254D+02 -0.5686989745657861D+02 -0.5663057217627991D+02
 -0.5638611284580030D+02 -0.5613644764920753D+02 -0.5588150581503957D+02
 -0.5562121808098568D+02 -0.5535551721103034D+02 -0.5508433855478057D+02
 -0.5480762063332902D+02 -0.5452530572993307D+02 -0.5423734045731524D+02
 -0.5394367626698195D+02 -0.5364426986044428D+02 -0.5333908345829849D+02
 -0.5302808488300111D+02 -0.5271124741303489D+02 -0.5238854938077838D+02
 -0.5205997348866529D+02 -0.5172550584739447D+02 -0.5138513497176663D+02
 -0.5103885002866213D+02 -0.5068663978079356D+02 -0.5032849114160312D+02
 -0.4996438800704789D+02 -0.4959431045563353D+02 -0.4921823440713958D+02
 -0.4883613184856912D+02 -0.4844797166716164D+02 -0.4805372108325691D+02
 -0.4765334761719921D+02 -0.4724682147671418D+02 -0.4683411821455897D+02
 -0.4641522148599724D+02 -0.4599012573138774D+02 -0.4555883861940933D+02
 -0.4512138310756452D+02 -0.4467779900468219D+02 -0.4422814395162924D+02
 -0.4377249376805070D+02 -0.4331094214339971D+02 -0.4284359967783409D+02
 -0.4237059230386194D+02 -0.4189205914129339D+02 -0.4140814985893888D+02
 -0.4091902163421354D+02 -0.4042483582044417D+02 -0.3992575444482914D+02
 -0.3942193667905904D+02 -0.3891353543629430D+02 -0.3840069426087743D+02
 -0.3788354468474851D+02 -0.3736220423127886D+02 -0.3683677524462892D+02
 -0.3630734471610275D+02 -0.3577398525826921D+02 -0.3523675734666394D+02
 -0.3469571289696826D+02 -0.3415090017413110D+02 -0.3360236992874325D+02
 -0.3305018252720019D+02 -0.3249441567506570D+02 -0.3193517216310881D+02
 -0.3137258680366691D+02 -0.3080683178952187D+02 -0.3023811915695561D+02
 -0.2966669914888373D+02 -0.2909285508656638D+02 -0.2851689294769075D+02
 -0.2793912757572916D+02 -0.2735986636438726D+02 -0.2677939441562163D+02
 -0.2619796281199770D+02 -0.2561578355755019D+02 -0.2503303273411498D+02
 -0.2444986205033493D+02 -0.2386641729509917D+02 -0.2328286096497189D+02
 -0.2269939578015795D+02 -0.2211628600718441D+02 -0.2153387420912321D+02
