  0.8350000000000000D+01    6
  0.2211313321219523D+01
    1  315   12
  327  327  327  327  327  327  327  327  327  327
  327  327
  0.3728037314372179D-01 -0.1188405697060919D-01  0.1050037444627179D-01
 -0.5824155137358226D-01  0.1829525811531890D-01  0.1353186178886794D-01
  0.4905380694408008D-02 -0.1347541493640721D-02 -0.1291792112658902D-02
 -0.1741432630574186D-02  0.4442016787827752D-05 -0.1254336156743102D-02
  0.2747942652874951D-02 -0.3065866603667815D-02  0.5523320135408674D-02
 -0.5455717462796124D-03 -0.2824352878845407D-02  0.8533923744507489D-02
 -0.1504611360713441D-02 -0.8186566575122348D-02  0.3314414730822266D-02
 -0.4516092503202729D-02 -0.5432392238190806D-02  0.2111883192283637D-02
  0.1370307692459003D-02 -0.1943200484501093D-02  0.1348051615522319D-02
 -0.5963947146943142D-02  0.4604503899248334D-02 -0.2690680084088768D-02
  0.1225791372921867D-02  0.1881268185382805D-02  0.2347793141977858D-02
  0.1850485799421086D-02 -0.1179723678659968D-02 -0.1766177418868347D-02
  0.4138648082604286D-02  0.5988976104731698D-03 -0.1295179160186890D-03
 -0.2083914125439962D-02 -0.1465145831977854D-02  0.1517832477289436D-02
  0.1090576359427409D-02  0.6268631622831448D-04  0.7626048685397339D-03
  0.5495593577181323D-03 -0.5597007809002596D-03 -0.7573935634985606D-03
 -0.3600852954180739D-03 -0.7660105381180608D-03 -0.6750479334271265D-03
  0.8056353766750366D-03 -0.3153603642314152D-03  0.7058151698342152D-03
 -0.1750488730801241D-04 -0.4515059855337459D-03  0.5806393585091504D-03
 -0.4458997242350681D-03  0.7601041925025575D-04 -0.2370199101980969D-03
 -0.4072399586503258D-03  0.1665825512312056D-03 -0.3576274575133223D-03
 -0.1655346748938913D-03  0.6860911056296423D-04  0.1705892958772786D-03
  0.1497208001366459D-04 -0.4222999204894361D-05  0.5299654776410399D-04
 -0.4964970060540055D-04 -0.4871498850612997D-04  0.6097925573632738D-04
 -0.1130841831480180D-03  0.4382297738157333D-04 -0.4482935181072386D-04
  0.8758116406843787D-04  0.2654147365532548D-04  0.9476207807884948D-04
 -0.3843498095493606D-04  0.7174714300358346D-05  0.1930182317113614D-04
  0.2538049966504237D-04 -0.5530255194228842D-04 -0.5121843125969912D-04
  0.9306598942504675D-04  0.3768155453656532D-04  0.2260761949914267D-04
  0.2321932386162401D-04 -0.4897971217475815D-04 -0.2237850757226066D-04
 -0.1911235769588926D-04 -0.4228088147355152D-04  0.5075030968037905D-05
  0.8606374136032807D-04  0.4990284458526338D-04 -0.4436493113916471D-04
 -0.1039270883363102D-04  0.8046532587139951D-04  0.7338359490342093D-04
 -0.3085505698821273D-04  0.4405651383806888D-04 -0.4539141838861961D-04
 -0.7935928612257217D-04 -0.2653021005816891D-04 -0.1728744283636800D-04
  0.3325813580207709D-04  0.2430115316121616D-05 -0.7072663926672114D-04
