 TOTAL CHARGE DENSITY OF ATOM  1  As (SPIN=1)
                  327
 0.0000000000000000D+00 0.6573229879797276D-02 0.6970245814631634D-02
 0.7384032431449780D-02 0.7826693955462968D-02 0.8293887042949628D-02
 0.8789648753851513D-02 0.9314693992980582D-02 0.9871109680033466D-02
 0.1046063778356443D-01 0.1108528116158043D-01 0.1174710869540271D-01
 0.1244832764081734D-01 0.1319126988656472D-01 0.1397840597482142D-01
 0.1481235108949378D-01 0.1569587406614011D-01 0.1663190611210493D-01
 0.1762355025863301D-01 0.1867409127902244D-01 0.1978700618742002D-01
 0.2096597532427507D-01 0.2221489406747919D-01 0.2353788520100007D-01
 0.2493931197694736D-01 0.2642379190810560D-01 0.2799621132997854D-01
 0.2966174077326360D-01 0.3142585118975587D-01 0.3329433107643053D-01
 0.3527330454485960D-01 0.3736925038542071D-01 0.3958902217786349D-01
 0.4193986950224118D-01 0.4442946030667993D-01 0.4706590449100349D-01
 0.4985777876784529D-01 0.5281415286558607D-01 0.5594461714022171D-01
 0.5925931166611574D-01 0.6276895687850660D-01 0.6648488584361635D-01
 0.7041907823524853D-01 0.7458419609985630D-01 0.7899362149519569D-01
 0.8366149609085666D-01 0.8860276282216341D-01 0.9383320969215080D-01
 0.9936951581954349D-01 0.1052292998338609D+00 0.1114311707219481D+00
 0.1179947812333501D+00 0.1249408839549907D+00 0.1322913901686475D+00
 0.1400694316079441D+00 0.1482994252323990D+00 0.1570071411405913D+00
 0.1662197737464161D+00 0.1759660163437282D+00 0.1862761391865758D+00
 0.1971820712135076D+00 0.2087174855452743D+00 0.2209178888855800D+00
 0.2338207149543312D+00 0.2474654220819685D+00 0.2618935950918729D+00
 0.2771490515954641D+00 0.2932779528212799D+00 0.3103289190950131D+00
 0.3283531500820175D+00 0.3474045498970638D+00 0.3675398571780070D+00
 0.3888187802103695D+00 0.4113041371784295D+00 0.4350620016052106D+00
 0.4601618530283892D+00 0.4866767329416036D+00 0.5146834060105927D+00
 0.5442625265508267D+00 0.5754988102285172D+00 0.6084812109198707D+00
 0.6433031026187316D+00 0.6800624662630056D+00 0.7188620813040125D+00
 0.7598097217964047D+00 0.8030183567383314D+00 0.8486063543371368D+00
 0.8966976898161173D+00 0.9474221563122383D+00 0.1000915578342781D+01
 0.1057320027240507D+01 0.1116784037871253D+01 0.1179462825854883D+01
 0.1245518504409564D+01 0.1315120299829899D+01 0.1388444764491450D+01
