    1
  315
 -0.7474581877489239D+00  0.5383713425976001D+00 -0.4673171504478019D+00
  0.2643774730984045D+01 -0.1316646287222576D+01 -0.1305154306688908D+01
 -0.7229422100981758D+00  0.2395505709776377D+00  0.7972316803661859D+00
 -0.1342675121930114D+00  0.7795884822481673D+00 -0.4740063270603161D+00
  0.4622953470698610D+00 -0.3048410549688489D+00  0.5858379451671016D+00
 -0.1128620639037174D+00 -0.1556286917097622D+00  0.7042437602047046D+00
 -0.1063111866391756D+00 -0.4803179269391927D+00  0.2318080528308784D+00
 -0.2608057160916714D+00 -0.3131729274017522D+00  0.8915044278466143D-01
  0.9222183424720438D-01 -0.8396198999685189D-01  0.2414510106039090D-01
 -0.3509300590455507D+00  0.2610955188470974D+00 -0.1483408697110488D+00
  0.9228823495150734D-01  0.8853886938410999D-01  0.1304283960050209D+00
  0.1048370497641396D+00 -0.3151014286714440D-01 -0.1028606710631792D+00
  0.2233671804560642D+00  0.1582902442755399D-01  0.5768399604549687D-02
 -0.1656915751876813D+00 -0.1095982288571746D+00  0.1100941744629918D+00
  0.7941832983769823D-01 -0.1212907128877739D-01  0.6984531058563645D-01
  0.1915705231111078D-01 -0.6436825073122944D-01 -0.6382508817710737D-01
  0.2032013807013555D-01 -0.5817521741105112D-01 -0.4963880982513925D-01
  0.9739838659937107D-01 -0.3355392848924286D-01  0.1000747782601430D+00
 -0.1398200465001079D-01 -0.3829152125910645D-01  0.8702785887716918D-01
 -0.8068210074353316D-01 -0.1799943484796913D-01 -0.3694447410148924D-01
 -0.6340200584116475D-01  0.3067591181076250D-01 -0.7046535023219766D-01
 -0.4258626081541414D-01  0.8430753168365106D-02  0.2410514468535562D-01
  0.2644995378173575D-01 -0.1291297128449729D-01  0.8352512039037325D-02
  0.3826501061245368D-02  0.4043010805228919D-02 -0.1137340355169105D-01
 -0.4679642537028137D-01  0.3893536551935536D-01  0.2852442759515175D-01
  0.2663874871755048D-01  0.3996243464694907D-01  0.3242877283132065D-01
 -0.1956510271493103D-02 -0.1623169585003305D-01  0.1716137088673789D-01
  0.2282176640783768D-02  0.1168856417294123D-01  0.4945636314985495D-02
 -0.1444067011320914D-01 -0.1335306132736254D-01 -0.1428206815061149D-01
 -0.8937836872012469D-02  0.1308199583890413D-01  0.1024552845189612D-01
 -0.2808304155672976D-02  0.2214746036421983D-01  0.3198582305761036D-02
 -0.2105383832021261D-01 -0.2074109774275809D-01  0.7513982284865605D-02
 -0.6408775990226841D-02 -0.1959870580775587D-01 -0.1700111577674751D-01
  0.7907975130377458D-02 -0.1137670529665920D-01  0.1143658944989754D-01
  0.1673711379937463D-01  0.6855424024004816D-02  0.6692510365714141D-02
 -0.2916542754447694D-02 -0.3015079960967101D-02  0.1470380434119318D-01
 -0.2174724039069999D-02  0.9653261271617274D-02 -0.5957223663760309D-02
 -0.4159237819734903D-02 -0.6140531979954580D-02 -0.1028486387116540D-01
  0.1021234825298537D-01 -0.6864297686195397D-02  0.8796671331219886D-02
 -0.4066837217148860D-02 -0.8427043063918229D-02  0.9542354012065037D-03
 -0.8686511613365311D-02  0.9886260001369226D-03  0.1368566815519525D-02
 -0.1836838437119248D-02 -0.5491791661071238D-02 -0.8038068971044216D-02
  0.6648233663129935D-02 -0.3810130307665389D-02  0.1250505013179710D-02
  0.3357773807750643D-02  0.1149047642691718D-02  0.1554597645617260D-02
 -0.1012714793791313D-02 -0.3196289599400967D-02  0.6033660688566693D-02
  0.1169095328095303D-02  0.3963438594313962D-02 -0.2355586950515683D-02
 -0.4380659989046701D-02 -0.4875124522947821D-02  0.8318646383175644D-03
