    1
  315
 -0.6482494038900152D+00  0.4055769966650890D+00 -0.3256095665461529D+00
  0.1719969114346348D+01 -0.7421805683725071D+00 -0.7179590946681496D+00
 -0.3903501812952758D+00  0.1305091196106865D+00  0.4204721903459777D+00
 -0.6670660438338943D-01  0.4161895225057806D+00 -0.2605540387686918D+00
  0.2424328390331634D+00 -0.1586981946877986D+00  0.3212847977076322D+00
 -0.5863177356141508D-01 -0.8790623439491418D-01  0.3761944252903454D+00
 -0.5583553626988905D-01 -0.2569454592723444D+00  0.1210246335943693D+00
 -0.1384870917155137D+00 -0.1640856800274174D+00  0.4759341082747048D-01
  0.4759341082746768D-01 -0.4701880575654159D-01  0.1634409553783436D-01
 -0.1834361630668858D+00  0.1361233084005020D+00 -0.7837278434347335D-01
  0.4773477502572130D-01  0.4773477502572426D-01  0.6851692492493082D-01
  0.5499506669652323D-01 -0.1811550940946858D-01 -0.5472629307508683D-01
  0.1182419031595591D+00  0.9603711113099515D-02  0.2125287899684860D-02
 -0.8562752011059115D-01 -0.5665798742355139D-01  0.5768763525746447D-01
  0.4154403015394605D-01 -0.5514935971408769D-02  0.3612065316020846D-01
  0.1177873271642857D-01 -0.3319576751294643D-01 -0.3319576751294737D-01
  0.7842974272585420D-02 -0.3088086168843091D-01 -0.2647913665356064D-01
  0.5043725401551635D-01 -0.1765715772007010D-01  0.5192637150406642D-01
 -0.6910809227789331D-02 -0.2092741641542802D-01  0.4535888439968025D-01
 -0.4182394654185215D-01 -0.8236744262751942D-02 -0.1952139109312460D-01
 -0.3350290046161520D-01  0.1597316604880465D-01 -0.3704380007593084D-01
 -0.2244795508635263D-01  0.4661005740769435D-02  0.1330622671641930D-01
  0.1330622671641696D-01 -0.6676462405991446D-02  0.4739738040281677D-02
  0.1582616530858822D-02  0.1582616530858466D-02 -0.5273637984282219D-02
 -0.2503227704815331D-01  0.2050623529436324D-01  0.1471854935881114D-01
  0.1471854935881389D-01  0.2128715037191083D-01  0.1801156488399848D-01
