 -2.20259 -2.20259 -2.20156 -2.20156 -2.20089 -2.20089 -2.19768 -2.19768
 -2.19738 -2.19738 -2.19728 -2.19728 -0.55821 -0.55821 -0.29643 -0.29643
  0.31683  0.31683  0.33419  0.33419  0.40320  0.40320  0.49447  0.49447
  0.50846  0.50846  0.58069  0.58069  1.04745  1.04745  1.23553  1.23553
  1.23700  1.23700  1.30723  1.30723  1.33885  1.33885  1.34077  1.34077
   XP 1(  0  6  0)/ 36     N.O.ENERGY= 48
 -2.25496 -2.25496 -2.25344 -2.25344 -2.25271 -2.25271 -2.25147 -2.25147
 -2.20269 -2.20269 -2.20205 -2.20205 -2.20098 -2.20098 -2.19766 -2.19766
 -2.19706 -2.19706 -2.19671 -2.19671 -0.63415 -0.63415 -0.05621 -0.05621
  0.26086  0.26086  0.27941  0.27941  0.31150  0.31150  0.58217  0.58217
  0.60951  0.60951  0.67352  0.67352  0.86984  0.86984  0.92416  0.92416
  0.97655  0.97655  1.20748  1.20748  1.21487  1.21487  1.27637  1.27637
   XP 1(  0  6  6)/ 36     N.O.ENERGY= 48
 -2.25496 -2.25496 -2.25344 -2.25344 -2.25271 -2.25271 -2.25148 -2.25148
 -2.20270 -2.20270 -2.20203 -2.20203 -2.20097 -2.20097 -2.19768 -2.19768
 -2.19710 -2.19710 -2.19669 -2.19669 -0.63216 -0.63216 -0.05759 -0.05759
  0.22966  0.22966  0.26393  0.26393  0.35149  0.35149  0.55216  0.55216
  0.61778  0.61778  0.70168  0.70168  0.86760  0.86760  0.94902  0.94902
  0.99669  0.99669  1.17813  1.17813  1.18015  1.18015  1.28987  1.28987
   XP 1(  0  6 12)/ 36     N.O.ENERGY= 48
 -2.25496 -2.25496 -2.25344 -2.25344 -2.25269 -2.25269 -2.25148 -2.25148
 -2.20271 -2.20271 -2.20198 -2.20198 -2.20095 -2.20095 -2.19772 -2.19772
 -2.19715 -2.19715 -2.19668 -2.19668 -0.62617 -0.62617 -0.07317 -0.07317
